cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
HSP90 deficiency,sequence_structure,RDH5 translocation,sequence_structure,induces,1,1,medium,Deficiency of HSP90alpha or HSP90beta dissociates RDH5 from Calnexin and increases RDH5 translocation from the endoplasm,39725039
SQSTM1 knockdown,sequence_structure,RDH5 accumulation,quality_attribute,induces,1,1,medium,Knocking down SQSTM1/P62 by siRNA induces RDH5 protein accumulation.,39725039
HSP90 deficiency,sequence_structure,RDH5 release,sequence_structure,induces,1,1,medium,Dysfunction of HSP90 leads to RDH5 release from Calnexin in the endoplasmic reticulum.,39725039
HSP90 inhibition,formulation_factor,RDH5 downregulation,quality_attribute,destabilizes,1,1,high,inhibition of HSP90 activity by IPI-504 downregulates RDH5 protein level.,39725039
small size,sequence_structure,tissue penetration,clinical_outcome,promotes,1,1,high,VHHs offer significant advantages for drug conjugation over conventional antibodies due to their smaller size and struct,39123409
superior stability,sequence_structure,cost-effective production,formulation_factor,promotes,1,1,high,"Their superior stability, solubility, and manufacturability facilitate cost-effective production.",39123409
o/IL nanoemulsion,formulation_factor,B lymphocyte activation,clinical_outcome,promotes,1,1,high,promoted the activation of B lymphocytes,35934167
compound instability,degradation_pathway,toxicity,clinical_outcome,increases,1,1,high,"Severe toxicities, often linked to compound instability, off-target effects, and nonspecific blood cell interactions.",39123409
rapid distribution,sequence_structure,toxicity,clinical_outcome,decreases,1,1,high,"the rapid distribution, tumor penetration, and clearance of VHHs could be advantageous, potentially reducing toxicity.",39123409
fusion to Fc,sequence_structure,therapeutic protein stability,quality_attribute,stabilizes,1,1,high,"improving the stability of therapeutic proteins, is their fusion to the immunoglobulin fragment crystallizable region (F",34305971
Fc-fusion dimerization,sequence_structure,instability,quality_attribute,destabilizes,1,1,high,the instability of the fusion protein is independent from the Fc origin or IgG subclass.,34305971
steric hindrance,sequence_structure,physical instability,quality_attribute,destabilizes,1,1,high,steric hindrance between the protein domains leads to physical instability.,34305971
critical residue mutations,sequence_structure,stability,quality_attribute,stabilizes,1,1,high,mutations of critical residues located on the Fc dimerization interface allowed the expression of fully stable EPO monom,34305971
bioorthogonal chemistry,formulation_factor,conjugate architectures,sequence_structure,induces,1,1,medium,Bioorthogonal chemistry holds great potential to generate difficult-to-access protein-protein conjugate architectures.,32342666
reactivity,quality_attribute,stability,quality_attribute,correlates,1,1,medium,"we systematically assessed the reactivity, stability and side product formation of various bioorthogonal chemistries.",32342666
VHH,sequence_structure,targetable antigens,clinical_outcome,increases,1,1,high,expand the range of targetable antigens.,39123409
o/IL nanoemulsion,formulation_factor,interleukin-4 secretion,clinical_outcome,promotes,1,1,high,the secretion of interleukin-4 in the mice model.,35934167
charged substitutions,sequence_structure,HC/LC pairing,quality_attribute,increases,1,1,high,achieved >95% correct HC/LC pairing efficiency with favorable pharmacological properties,37339067
C3 design,sequence_structure,structure,sequence_structure,modifies,1,1,high,the C3 design did not affect the overall structure of both Fabs,37339067
charge format,sequence_structure,stability,quality_attribute,increases,1,1,high,selected the more stable charge-based format in acidic conditions,37339067
FAST-Ig,formulation_factor,chain pairing,quality_attribute,promotes,1,1,high,demonstrated robust chain pairing with different subclasses of parent BsAbs.,37339067
targeted antibodies,sequence_structure,efficacy,clinical_outcome,increases,1,1,high,significantly improving the efficacy of immune-based treatment.,41596669
antibody-drug conjugates,sequence_structure,clinical outcomes,clinical_outcome,destabilizes,1,1,medium,improved the clinical course of different tumors.,41596669
chemical linker,sequence_structure,linker stability,formulation_factor,promotes,1,1,medium,enhancing linker stability.,41596669
mAb,sequence_structure,sensitivity in titre,quality_attribute,increases,1,1,high,"the mAb Aa3c10, showed the highest sensitivity in end-point titre",33612757
bispecific antibodies,sequence_structure,disease management,clinical_outcome,promotes,1,1,medium,simultaneous modulation has the potential to enhance disease management,40819765
biomarker approaches,formulation_factor,treatment response,clinical_outcome,increases,1,1,medium,importance of refining biomarker approaches to predict treatment response,40819765
cytokine networks,sequence_structure,optimization,clinical_outcome,requires,1,1,medium,understanding this relationship more effectively can lead to more efficient optimization of these agents,40819765
pE3 modification,sequence_structure,binding stability,quality_attribute,stabilizes,1,1,high,pE3 modification acting as a structural anchor that reinforces binding stability.,41539516
Aducanumab,sequence_structure,polymorph-dependent binding,quality_attribute,induces,1,1,medium,"Aducanumab shows polymorph-dependent binding, targeting N-terminal epitopes.",41539516
Lecanemab,sequence_structure,engagement,quality_attribute,induces,1,1,medium,Lecanemab uniquely engages multiple N-termini simultaneously.,41539516
Donanemab,sequence_structure,recognition,quality_attribute,induces,1,1,medium,Donanemab employs a conserved CDRL1-dominated mode to recognize F4-H13 aggregates.,41539516
poly N-isopropylacrylamide,formulation_factor,mAb stability,quality_attribute,stabilizes,1,1,high,"developed using smart polymer, poly N-isopropylacrylamide, as adjuvant for malarial diagnostic applications",33612757
storage conditions,stress_condition,thermal stability,quality_attribute,requires,1,1,medium,thermal stability experiments showed that both mAbs (Aa3c10; b10c1) are stable up to thirty days at 45C,33612757
structural improvements,sequence_structure,potent tools,sequence_structure,induces,1,1,medium,essential structural and chemical improvements that have yielded more potent and selective next-generation tools.,41596669
Mg,formulation_factor,alpha1I stability,quality_attribute,stabilizes,1,1,high,Mg(2+) and Mn(2+) stabilized alpha1I,22847004
Mn,formulation_factor,alpha1I stability,quality_attribute,stabilizes,1,1,high,Mg(2+) and Mn(2+) stabilized alpha1I,22847004
calcium,formulation_factor,alpha1I dynamics,quality_attribute,destabilizes,1,1,medium,Ca(2+) impacted alpha1I conformational dynamics without altering its gross thermal stability,22847004
collagen,sequence_structure,exchange rates,quality_attribute,modifies,1,1,medium,Interaction with collagen affected the exchange rates in just one of three metal ion-dependent adhesion site (MIDAS) loo,22847004
collagen,sequence_structure,unfolding helices,degradation_pathway,induces,1,1,medium,Collagen also induced changes consistent with increased unfolding in both the alphaC and allosteric C-terminal helices o,22847004
site-specific ADC,sequence_structure,aggregation stability,quality_attribute,stabilizes,1,1,high,the site-specific ADCs gsADC 3b exhibit good aggregation stability,38981219
site-specific ADC,sequence_structure,in vivo efficacy,clinical_outcome,stabilizes,1,1,high,the site-specific ADCs gsADC 3b exhibit good aggregation stability and in vivo efficacy,38981219
high DAR,formulation_factor,aggregation,degradation_pathway,destabilizes,1,1,high,"ADCs continue to face significant challenges, including aggregation and high hydrophobicity driven by high drug-to-antib",41471083
glutathione,formulation_factor,photodegradation,degradation_pathway,inhibits,1,1,high,Antioxidants such as glutathione helped limit photooxidation under ambient or blue light exposure.,32337641
linker-payload conjugation,formulation_factor,ADC stability,quality_attribute,stabilizes,1,1,high,site-specific linker-payload conjugation has improved ADC homogeneity and stability,41471083
Fab-Fc pockets,sequence_structure,linker shielding,degradation_pathway,shields,1,1,medium,pockets within both Fab and Fc regions may interact with and shield the linker portion of the conjugate.,41471083
structure-based design,sequence_structure,optimization,quality_attribute,promotes,1,1,medium,structure-based design to drive the optimization of ADC linker chemistry,41471083
cold denaturation,stress_condition,aggregation rates,quality_attribute,increases,1,1,high,"Both antibodies evidenced increasing aggregation rates when approaching extreme temperatures, because of hot and cold de",37832611
elevated temperature,stress_condition,aggregation,quality_attribute,destabilizes,1,1,high,this strategy often leads to an underestimation of protein aggregation during storage.,37832611
Arrhenius equation,formulation_factor,aggregation rates,quality_attribute,requires,1,1,medium,This behavior was modelled using Arrhenius and Gibbs-Helmholtz equations.,37832611
isochoric cooling,formulation_factor,prevent freezing,stress_condition,prevents,1,1,high,using an isochoric cooling method to prevent freezing of the formulations below 0 C.,37832611
unfolding,degradation_pathway,association kinetics,degradation_pathway,modifies,1,1,medium,which enabled to deconvolute the contribution of unfolding from the protein association kinetics.,37832611
